beta,seed,rule,parity_sigma,parity_k,mse_k,parity_kl,matched_mse_kl,selected_mse_kl,parity_validation_nll,mse_validation_nll
1.1,114,validation,2.0,128,512,0.4186953028873398,0.41665741093611386,0.40190554356732805,5.194159187812898,5.197625860424532
1.1,115,oracle,3.0,256,256,0.37462246820585704,0.44758876791880864,0.44758876791880864,4.711434438756459,4.59638145573305
1.1,115,validation,2.0,128,256,0.42580082717757484,0.4563724337178998,0.44758876791880864,4.650759357411111,4.59638145573305
1.1,116,oracle,1.0,128,512,0.368754618227918,0.4184472091253292,0.39918142628730724,4.390682308211978,4.374040318153752
1.1,116,validation,1.0,512,128,0.4002551588695887,0.39918142628730724,0.4184472091253292,4.366615121914,4.366584189626184
1.1,117,oracle,0.5,512,512,0.4081002242311236,0.35814067190373194,0.35814067190373194,4.750749630889597,4.693616893800645
1.1,117,validation,0.5,512,128,0.4081002242311236,0.35814067190373194,0.3809174091130535,4.750749630889597,4.678161049369897
1.1,118,oracle,1.0,512,256,0.311854662965949,0.3904497303216498,0.3682359047851419,4.94269222632726,4.999645605232401
1.1,118,validation,1.0,512,256,0.311854662965949,0.3904497303216498,0.3682359047851419,4.94269222632726,4.999645605232401
1.1,119,oracle,1.0,512,128,0.34534754421701086,0.4146951351062603,0.40609199805913865,4.993414940899004,5.148496919436054
1.1,119,validation,1.0,512,512,0.34534754421701086,0.4146951351062603,0.4146951351062603,4.993414940899004,5.043199093426411
1.1,120,oracle,0.5,512,512,0.43787976020012054,0.4305319708340347,0.4305319708340347,5.055791274682467,5.0564927117168805
1.1,120,validation,0.5,512,512,0.43787976020012054,0.4305319708340347,0.4305319708340347,5.055791274682467,5.0564927117168805
1.2,111,oracle,0.5,256,512,0.3860073983237702,0.3555954330624519,0.34770525096796484,4.09925822658579,4.052307924482259
1.2,111,validation,0.5,256,512,0.3860073983237702,0.3555954330624519,0.34770525096796484,4.09925822658579,4.052307924482259
1.2,112,oracle,1.0,256,128,0.3778477665359208,0.43035948982083483,0.3924740289243219,4.38799226096975,4.327116963160951
1.2,112,validation,0.5,512,512,0.39286678284912624,0.42308091228799155,0.42308091228799155,4.325853558842523,4.317408443390748
1.2,113,oracle,1.0,256,128,0.37073057286607014,0.4225563966566356,0.40158182080416804,4.222142432672033,4.2282156021063315
1.2,113,validation,2.0,512,128,0.37104636417301456,0.5387003184354957,0.40158182080416804,4.181556393426763,4.2282156021063315
