architecture,beta,conditional_kl,coverage_1000,key,kl,l2,lr,model,parameters,recovery_1000,region_mass_kl,sample_sha256,seconds,seed,sigma,steps,support_aware,support_kl,support_mass,unseen_mass,validation_nll,validation_sha256,within_region_kl
dense,0.9,0.33741992778056373,0.12415126391571192,ising-nll_dense_s1_lr0.005_t50_support,0.3374199277805635,0.0,0.005,ising-nll,78,0.4222832105976596,0.029433009469832863,23158049f8a287709543a55b89f8943218b08cba397a67e034633640e70c99f6,0.02920083305798471,112,1.0,50,True,-2.2204460492503128e-16,1.0000000000000002,0.5891819242599214,5.972170711736827,3dd0b47c3c1ce23069083c16d0c2272714da54db5025db5646fd1228b010a5e8,0.3079869183107311
dense,0.9,0.3694150894129009,0.12431716919816059,ising-nll_dense_s1_lr0.005_t50_support,0.36941508941290113,0.0,0.005,ising-nll,78,0.40893805657289667,0.025308935438479063,1130bcd06d370ab57f1bc3a67409c755b267648b80a0f46e840060bb010d3ab8,0.028543415945023298,113,1.0,50,True,2.2204460492503136e-16,0.9999999999999998,0.605214785166232,5.971254710054616,db95c591d5ad7a1f08531cf0e04985b931fc730f28e8ed47b8c7c5d8ecd8db0c,0.344106153974422
dense,0.9,0.38840498657117806,0.11932324911488501,ising-nll_dense_s1_lr0.005_t50_support,0.38840498657117806,0.0,0.005,ising-nll,78,0.40448559021994923,0.04388383035603402,c8a7a565f4c34afcedf377bd8a33aee023bbafec99430b278d5183f906311b3e,0.03038145904429257,114,1.0,50,True,-0.0,1.0,0.5971223007204007,6.0591900686591,52ceac77e1e0c99a5de90b23d52d3e2f15eb08da92d5b6842d3e92834a138f22,0.3445211562151441
dense,0.9,0.36097857935330185,0.12521385801802196,ising-nll_dense_s1_lr0.005_t50_support,0.3609785793533022,0.0,0.005,ising-nll,78,0.4187754448763276,0.02789767536361401,21e3187a25ce542a7fda12331f6df5573b7aa9cfb19c4d6a1242f48e9ab77257,0.038003708934411407,115,1.0,50,True,3.33066907387547e-16,0.9999999999999997,0.5941235074887676,5.950714111994839,c3a0cabd7487508470d585545f7b6a856897b0410105302f1b4d5c12944c190d,0.3330809039896879
dense,0.9,0.36398591893724536,0.12811165100774555,ising-nll_dense_s1_lr0.005_t50_support,0.36398591893724513,0.0,0.005,ising-nll,78,0.4200382000253952,0.01261180088557358,b240340bda42b13e461b839e854e8931eb9b197c11fad589d1f07877b5a6c105,0.03114608395844698,116,1.0,50,True,-2.2204460492503128e-16,1.0000000000000002,0.5952873337694995,6.046237410693225,0d285e8573294ff0f8d626c9d7c79b1ffa6d14fb3071ba7be902aa48627a1c7e,0.3513741180516717
dense,0.9,0.3471821748111276,0.12297213834072002,ising-nll_dense_s1_lr0.005_t50_support,0.3471821748111276,0.0,0.005,ising-nll,78,0.41544641331324333,0.03640250647675056,2ff937c83d36f7b3a5406c91e8755c50ce932575e34db68925452587b0ab77d6,0.027730165980756283,117,1.0,50,True,-0.0,1.0,0.6022207402671553,5.982307224067792,32821079a74fe63f445d951a557ad18447fced01821fc77b6b8d137d2fe48881,0.3107796683343772
dense,0.9,0.38702435989300793,0.12070885304408463,ising-nll_dense_s1_lr0.005_t50_support,0.38702435989300793,0.0,0.005,ising-nll,78,0.4205883381326991,0.038452283245513474,f9372f8f74b3a18b86f9a9dd960278381003e836073cde71119d3b892dde9434,0.033416250022128224,118,1.0,50,True,-0.0,1.0,0.5840964819310965,6.092105729925568,ffdd2708cda2855a18fd4a81398631fadb59f1610b8dd3d36eefe8f678572c16,0.34857207664749457
dense,0.9,0.38657233314671224,0.11993708333576122,ising-nll_dense_s1_lr0.005_t50_support,0.38657233314671247,0.0,0.005,ising-nll,78,0.40656638418902113,0.024599503917972873,9cc5a5818d004f0f1492c246ba3ab8685b2df3f7dfd15cdf113ebebec42d8dee,0.027400500024668872,119,1.0,50,True,2.2204460492503136e-16,0.9999999999999998,0.5741559397900906,5.99075409745149,01bf4e2b10f88360652600d185a9d719f05502f25f089d70da96eafa7fe4dfe3,0.3619728292287396
dense,0.9,0.37252367999264147,0.12798601883407837,ising-nll_dense_s1_lr0.005_t50_support,0.3725236799926417,0.0,0.005,ising-nll,78,0.43532659467373597,0.03587533523845357,69e5aaf107b63f46b6b057dfe99d3189e4f485b9649136f1718f398f646e43c6,0.025803416967391968,120,1.0,50,True,2.2204460492503136e-16,0.9999999999999998,0.6019602786052286,6.057205169699741,dff4b17a330f664ec4d31f507c7603e7842ac94d65226c760d6e78cfa953aeb7,0.33664834475418787
dense,0.9,0.39792647738219905,0.13081677377832807,ising-nll_dense_s1_lr0.005_t600_support,0.39792647738219905,0.0,0.005,ising-nll,78,0.452653196464803,0.005619848641649806,6f4599f803588363f7f3f06a30082972087391773f80fd6d7eb3eadc6484859e,0.3680834580445662,111,1.0,600,True,-0.0,1.0,0.5080579561238924,6.139179335423454,ff013eda1d426d67006a334f6583897c614d689f5823b14c442be63e78bb3962,0.3923066287405495
